Chay lan thu 1, xet trong so thu 44 (trọng số thứ 4 của ma trận A28), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.224]
Chay lan thu 1, xet trong so thu 45 (trọng số thứ 5 của ma trận A28), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.224]
Chay lan thu 1, xet trong so thu 46 (trọng số thứ 1 của ma trận A29), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 47 (trọng số thứ 2 của ma trận A29), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 48 (trọng số thứ 3 của ma trận A29), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 49 (trọng số thứ 4 của ma trận A29), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 50 (trọng số thứ 5 của ma trận A29), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 51 (trọng số thứ 1 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.17, 0.204, 0.219]
Chay lan thu 1, xet trong so thu 52 (trọng số thứ 2 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.18, 0.199, 0.158]
Chay lan thu 1, xet trong so thu 53 (trọng số thứ 3 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 54 (trọng số thứ 4 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 55 (trọng số thứ 5 của ma trận B1), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 56 (trọng số thứ 1 của ma trận B21), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 57 (trọng số thứ 2 của ma trận B21), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 58 (trọng số thứ 3 của ma trận B21), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 59 (trọng số thứ 4 của ma trận B21), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 60 (trọng số thứ 5 của ma trận B21), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 61 (trọng số thứ 1 của ma trận B22), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 62 (trọng số thứ 2 của ma trận B22), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 63 (trọng số thứ 3 của ma trận B22), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
Chay lan thu 1, xet trong so thu 64 (trọng số thứ 4 của ma trận B22), sai so: [0.203, 0.203, 0.547, 0.17, 0.194, 0.077]
